"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","LABCOMP","TOT","AGRWTH","A","1996",0.522066,
"JPN","LABCOMP","TOT","AGRWTH","A","1997",3.536531,
"JPN","LABCOMP","TOT","AGRWTH","A","1998",0.366201,
"JPN","LABCOMP","TOT","AGRWTH","A","1999",0.78217,
"JPN","LABCOMP","TOT","AGRWTH","A","2000",-0.560005,
"JPN","LABCOMP","TOT","AGRWTH","A","2001",-0.604673,
"JPN","LABCOMP","TOT","AGRWTH","A","2002",-2.130057,
"JPN","LABCOMP","TOT","AGRWTH","A","2003",-1.337717,
"JPN","LABCOMP","TOT","AGRWTH","A","2004",-0.444331,
"JPN","LABCOMP","TOT","AGRWTH","A","2005",0.957812,
"JPN","LABCOMP","TOT","AGRWTH","A","2006",-1.110383,
"JPN","LABCOMP","TOT","AGRWTH","A","2007",-0.540563,
"JPN","LABCOMP","TOT","AGRWTH","A","2008",1.193273,
"JPN","LABCOMP","TOT","AGRWTH","A","2009",-0.658526,
"JPN","LABCOMP","TOT","AGRWTH","A","2010",-1.262468,
"JPN","LABCOMP","TOT","AGRWTH","A","2011",0.671358,
"JPN","LABCOMP","TOT","AGRWTH","A","2012",-0.971619,
"JPN","LABCOMP","TOT","AGRWTH","A","2013",0.697172,
"JPN","LABCOMP","TOT","AGRWTH","A","2014",1.139248,
"JPN","LABCOMP","TOT","AGRWTH","A","2015",0.91708,
"JPN","LABCOMP","TOT","AGRWTH","A","2016",1.739219,
